Intersection,CrashCount,Latitude,Longitude
CST E 39TH ST & CST WARWICK BLVD,69,39.0564934,-94.5837684
CST E 23RD ST & CST JACKSON AVE,68,39.0837213,-94.5337512
CST BENTON BLVD & CST INDEPENDENCE AVE,68,39.1060929,-94.5443497
CST E 75TH ST & CST THE PASEO,68,38.9911686,-94.5661086
CST INDEPENDENCE AVE & CST WILSON AVE,68,39.1050388,-94.51437089999999
CST NW BARRY RD & CST NW PRAIRIE VIEW RD,67,39.2469902,-94.66129719999999
CST TRUMAN RD & IS 70,67,39.0964156,-94.58377469999999
CST BLUE RIDGE BLVD & CST E 107TH ST,67,38.9305508,-94.50773769999999
CST E 85TH ST & CST HOLMES RD,67,38.9737364,-94.581199
CST E 39TH ST & CST MAIN ST,65,39.0565773,-94.5861077
CST E 63RD ST & CST ROCKHILL RD,65,39.0133506,-94.576882
CST N CHATHAM AVE & CST NW 64TH ST,65,39.2104782,-94.6428655
CST E WINNER RD & IS 435,65,39.1065577,-94.4874581
CST W BRUSH CREEK PKWY & CST WARD PKWY,65,39.0332566,-94.6056471
CST CLEAVER II BLVD & CST TROOST AVE,65,39.0416745,-94.5729545
CST E MEYER BLVD & CST THE PASEO,64,39.012476,-94.57010849999999
CST RAYTOWN RD & IS 470,64,38.9709859,-94.465107
CST E 31ST ST & CST JACKSON AVE,64,39.0692881,-94.5344786
IS 35 & IS 670,64,37.9418219,-96.7515814
CST BLUE RIDGE CUTOFF & CST RAYTOWN RD,64,39.0367185,-94.4763735
CST LEES SUMMIT RD & US 40,63,39.0343252,-94.3879291
CST E 63RD ST & US 71,63,39.0966226,-94.5729289
MO 150 & US 71,63,39.0966226,-94.5729289
CST E 39TH ST & CST MICHIGAN AVE,63,39.0557446,-94.562067
CST BELLEVIEW AVE & CST W 43RD ST,62,39.0497392,-94.59813059999999
CST E 85TH ST & US 71,62,39.0966226,-94.5729289
CST W 75TH ST & CST WORNALL RD,62,38.9924061,-94.5942939
CST E 12TH ST & CST PROSPECT AVE,62,39.0988764,-94.5514228
CST W 85TH ST & CST WARD PKWY,62,38.974618,-94.6065631
CST E 22ND ST & US 71,61,41.3894041,-94.9840612
CST E 75TH ST & CST PROSPECT AVE,61,38.9908353,-94.55729219999999
CST N ANTIOCH RD & CST NE VIVION RD,61,39.1861316,-94.54893609999999
CST VAN BRUNT BLVD & IS 70,61,39.1127071,-94.52569559999999
CST TRUMAN RD & IS 435,61,39.0955827,-94.57853240000001
CST E 31ST ST & CST VAN BRUNT BLVD,61,39.068898,-94.52073519999999
CST GENESSEE ST & IS 670,60,39.1038828,-94.6063604
CST E MEYER BLVD & US 71,60,39.0966226,-94.5729289
CST GILLHAM PLZ & CST LINWOOD BLVD,60,39.0685813,-94.5790423
CST INDEPENDENCE AVE & CST THE PASEO,60,39.1067792,-94.5641165
CST E 63RD ST & CST SWOPE PKWY,60,39.0119426,-94.54232619999999
CST BENTON BLVD & CST E 12TH ST,60,39.098625,-94.5444976
CST E 35TH ST & CST PROSPECT AVE,60,39.06263879999999,-94.5532013
CST PENNSYLVANIA AVE & CST W 39TH ST,59,39.0569628,-94.5966726
